iso3,time_idx,coupling
ITA,2,0.06568070490767373
ITA,3,0.058221336922946405
ITA,4,0.04242621506495155
ITA,5,0.052179564540917316
ITA,6,0.0527221147252396
ITA,7,0.04856816953362574
ITA,8,0.053549496512511494
ITA,9,0.06360967420139384
ITA,10,0.028430314689528457
ITA,11,0.07849695569873996
ITA,12,0.05565128105473289
ITA,13,0.06189985020407838
ITA,14,0.08410948006067316
ITA,15,0.061820171824324616
JPN,1,1
JPN,2,0.07353332611886025
JPN,3,0.07493450697704827
JPN,4,0.04766655290977706
JPN,5,0.04730869595812731
JPN,6,0.05113625898602737
JPN,7,0.06581225294315432
JPN,8,0.05176954457663642
JPN,9,0.05440893801555128
JPN,10,0.07957350974873381
JPN,11,0.05480549996277131
JPN,12,0.06692268227971586
JPN,13,0.07364837468167507
JPN,14,0.06252566644472565
JPN,15,0.06328163568420672
KOR,1,1
KOR,2,0.059390778102986735
KOR,3,0.07322766937086332
KOR,4,0.0542844140179051
KOR,5,0.06008469638529553
KOR,6,0.0607173131728779
KOR,7,0.0717090569529181
KOR,8,0.06332147721436372
KOR,9,0.035936034567984464
KOR,10,0.06096737767399619
KOR,11,0.07548665295684368
KOR,12,0.06024256593784811
KOR,13,0.05031420358709296
KOR,14,0.08393430471341168
KOR,15,0.05000596229603167
RUS,1,1
RUS,2,0.0703667948245079
RUS,3,0.07725446942826233
RUS,4,0.04211733785478665
RUS,5,0.06927069015079378
RUS,6,0.05573183418302504
RUS,7,0.051634613124309295
RUS,8,0.06617867729110419
RUS,9,0.06815292111313703
RUS,10,0.07404151192985554
RUS,11,0.07535184873540199
RUS,12,0.05183618033738196
RUS,13,0.05150502742717152
RUS,14,0.05885463386619706
RUS,15,0.06790357911694758
TUR,1,1
TUR,2,0.05471941417845253
TUR,3,0.06523238519132553
TUR,4,0.053790986590539956
TUR,5,0.056154649836868034
TUR,6,0.07563914264079301
TUR,7,0.08188994431772648
TUR,8,0.06022547374635656
TUR,9,0.05781845718688958
TUR,10,0.04974255794278188
TUR,11,0.05502112629258417
TUR,12,0.05523331955522484
TUR,13,0.05823740481569323
TUR,14,0.04805718256492201
TUR,15,0.10099209118029183
USA,1,1
USA,2,0.05798038002580083
USA,3,0.06824198837817759
USA,4,0.07207565481592193
USA,5,0.04661687285434602
USA,6,0.06134647910558732
USA,7,0.06789296727242489
USA,8,0.0498161855989878
USA,9,0.06903413166283029
USA,10,0.05767734577728596
USA,11,0.06573493348435622
USA,12,0.08208272409945716
USA,13,0.04888351131420704
USA,14,0.060463052147520735
USA,15,0.08397929384477211
ZAF,1,1
ZAF,2,0.06861662823357824
ZAF,3,0.0530425147857054
ZAF,4,0.051128872137346425
ZAF,5,0.06222676076782276
ZAF,6,0.07387041509275744
ZAF,7,0.05902844655880603
ZAF,8,0.055490588283012274
ZAF,9,0.07537954199658717
ZAF,10,0.0984978794021512
ZAF,11,0.059451420288868004
ZAF,12,0.07932656738225577
ZAF,13,0.08284902380746043
ZAF,14,0.05767852701465902
ZAF,15,0.07217827666502166
