iso3,time_idx,coupling
AUS,1,1
AUS,2,0.04335507539651086
AUS,3,0.05892821039251447
AUS,4,0.05330164283342169
AUS,5,0.06000635946157499
AUS,6,0.07585792090023856
AUS,7,0.054250293760272295
AUS,8,0.06526726593384861
AUS,9,0.0730521573745393
AUS,10,0.05874026235191156
AUS,11,0.06373971742567684
AUS,12,0.06197445838051266
AUS,13,0.05714888692909466
AUS,14,0.07340237084824042
AUS,15,0.05979127414606405
BRA,1,1
BRA,2,0.07089539034908275
BRA,3,0.06839318908176278
BRA,4,0.0695733947515742
BRA,5,0.07149847544516362
BRA,6,0.053366842334259944
BRA,7,0.06166660397166184
BRA,8,0.06513973550934504
BRA,9,0.05602518203457142
BRA,10,0.05709362753046569
BRA,11,0.0725616164523956
BRA,12,0.058638111202409526
BRA,13,0.05817619381811209
BRA,14,0.05466821971871804
BRA,15,0.05254012712939652
CAN,1,1
CAN,2,0.062182320462723255
CAN,3,0.06815866455591187
CAN,4,0.06926547969953664
CAN,5,0.0699101149197492
CAN,6,0.052268657554590356
CAN,7,0.05496626712236832
CAN,8,0.04855319178690196
CAN,9,0.055968424387073584
CAN,10,0.06913378153144928
CAN,11,0.039851498441642645
CAN,12,0.05782690142395158
CAN,13,0.059339555485949394
CAN,14,0.06834853521214992
CAN,15,0.06517165278755478
CHN,1,1
CHN,2,0.07179847670500322
CHN,3,0.0540822161785798
CHN,4,0.05539533845254858
CHN,5,0.07018918835025435
CHN,6,0.05832621668089183
CHN,7,0.04945378087911463
CHN,8,0.06806107221978537
CHN,9,0.07276710288308437
CHN,10,0.053603515702314225
CHN,11,0.0669857222884176
CHN,12,0.07582706468374303
CHN,13,0.06840878768791281
CHN,14,0.08729833444777108
CHN,15,0.060342414546011296
DEU,1,1
DEU,2,0.07273430357727233
DEU,3,0.05249257452607958
DEU,4,0.083283307142067
DEU,5,0.06955726501249028
DEU,6,0.05301467047384198
DEU,7,0.08051955854879694
DEU,8,0.06209099135323581
DEU,9,0.047221514731627376
DEU,10,0.05805952177807598
DEU,11,0.07322562526369486
DEU,12,0.06499565517266125
DEU,13,0.08102735874010206
DEU,14,0.07507430094498659
DEU,15,0.06376943029154633
FRA,1,1
FRA,2,0.056352838066312305
FRA,3,0.060536867204642276
FRA,4,0.09218592951931652
FRA,5,0.04892031799443836
FRA,6,0.07210322463195347
FRA,7,0.077402576286997607
FRA,8,0.06717180950827491
FRA,9,0.06457729577196705
FRA,10,0.06294520343571285
FRA,11,0.07030032054618095
FRA,12,0.06444238612843678
FRA,13,0.07897487864036223
FRA,14,0.06534624269184487
FRA,15,0.06593580293551064
GBR,1,1
GBR,2,0.07354231204761988
GBR,3,0.07592260471582761
GBR,4,0.05100755659947458
GBR,5,0.05409785913352092
GBR,6,0.0659149245059288
GBR,7,0.0341704965991246
GBR,8,0.051145754335278855
GBR,9,0.04884327682552121
GBR,10,0.058457813661220964
GBR,11,0.06186138371717324
GBR,12,0.07341057558075044
GBR,13,0.06439199579390506
GBR,14,0.052847126201972815
GBR,15,0.08227013353805805
IND,1,1
IND,2,0.05343211031688883
IND,3,0.050496419821201406
IND,4,0.08031390065913803
IND,5,0.08442777714591422
IND,6,0.0738467689803058
IND,7,0.05835257869437193
IND,8,0.07257449091785685
IND,9,0.0699755338262762
IND,10,0.05939942437781477
IND,11,0.06403181258946779
IND,12,0.03937587272876621
IND,13,0.06077336709692298
IND,14,0.049929531482995435
IND,15,0.04752141315779663
ITA,1,1
